model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,6,395.5451,0.607,0.101,62711220142080.0,0.10765245759830577,40.0,5.557145595550537,1.9816925525665283,0.44,26.2562,1.904,0.076,3.578620433807373,0.9122444987297058,0.48,25.7525,1.942,0.078,3.578620433807373
opt-125m,6,415.0228,0.578,0.096,62711220142080.0,0.14877956759155495,40.0,5.557145595550537,1.634385108947754,0.38,25.9086,1.93,0.077,3.578620433807373,0.9374880790710449,0.44,25.2132,1.983,0.079,3.578620433807373
opt-125m,6,396.3141,0.606,0.101,62711220142080.0,0.06694561365657137,40.0,5.557145595550537,2.0138540267944336,0.52,26.3501,1.898,0.076,3.578620433807373,1.777509331703186,0.56,25.9729,1.925,0.077,3.578620433807373
opt-125m,6,398.6943,0.602,0.1,62711220142080.0,0.1117628155843704,40.0,5.557145595550537,1.2504723072052002,0.44,25.4376,1.966,0.079,3.578620433807373,0.978842556476593,0.44,25.2601,1.979,0.079,3.578620433807373
opt-125m,6,425.9604,0.563,0.094,62711220142080.0,0.09133027479110752,40.0,5.557145595550537,1.7420506477355957,0.6,25.6276,1.951,0.078,3.578620433807373,1.7171576023101807,0.56,25.8545,1.934,0.077,3.578620433807373
opt-125m,8,648.2191,0.494,0.062,83614960189440.0,0.12852989131351933,40.0,6.615960597991943,1.2835612297058105,0.38,27.1005,1.845,0.074,3.5859618186950684,1.5924780368804932,0.42,25.5227,1.959,0.078,3.5859618186950684
opt-125m,8,633.4413,0.505,0.063,83614960189440.0,0.08989253724575974,40.0,6.615960597991943,1.4839072227478027,0.38,27.1276,1.843,0.074,3.5859618186950684,0.7252777218818665,0.42,25.3211,1.975,0.079,3.5859618186950684
opt-125m,8,668.4597,0.479,0.06,83614960189440.0,0.0765057403659739,40.0,6.615960597991943,1.157869577407837,0.44,29.1978,1.712,0.068,3.5859618186950684,0.7676395177841187,0.52,27.4396,1.822,0.073,3.5859618186950684
opt-125m,8,693.2072,0.462,0.058,83614960189440.0,0.09668511171694263,40.0,6.615960597991943,1.7889007329940796,0.46,27.6396,1.809,0.072,3.5859618186950684,1.0821751356124878,0.44,25.9298,1.928,0.077,3.5859618186950684
opt-125m,8,692.3737,0.462,0.058,83614960189440.0,0.10505435034283436,40.0,6.615960597991943,1.2297931909561157,0.52,26.773,1.868,0.075,3.5859618186950684,0.8459838032722473,0.6,25.9261,1.929,0.077,3.5859618186950684
opt-125m,8,676.7927,0.473,0.059,83614960189440.0,0.11553378757671454,40.0,6.615960597991943,1.5452476739883423,0.44,26.9421,1.856,0.074,3.5859618186950684,1.0098973512649536,0.48,25.9351,1.928,0.077,3.5859618186950684
opt-125m,8,663.6973,0.482,0.06,83614960189440.0,0.12003271185094491,40.0,6.615960597991943,1.0756603479385376,0.44,26.4042,1.894,0.076,3.5859618186950684,0.9203538298606873,0.42,26.0402,1.92,0.077,3.5859618186950684
opt-125m,8,667.2002,0.48,0.06,83614960189440.0,0.09631202815216966,40.0,6.615960597991943,1.328031301498413,0.52,26.9465,1.856,0.074,3.5859618186950684,1.8268738985061646,0.56,26.0653,1.918,0.077,3.5859618186950684
opt-125m,8,647.3541,0.494,0.062,83614960189440.0,0.11088520891571534,40.0,6.615960597991943,1.2941898107528687,0.56,25.9783,1.925,0.077,3.5859618186950684,1.0501577854156494,0.56,25.2451,1.981,0.079,3.5859618186950684
opt-125m,8,665.1159,0.481,0.06,83614960189440.0,0.0842328333768819,40.0,6.615960597991943,1.1962887048721313,0.34,25.6392,1.95,0.078,3.5859618186950684,0.7595005035400391,0.42,25.3961,1.969,0.079,3.5859618186950684
opt-125m,16,1584.0238,0.404,0.025,167229920378880.0,0.11424786238058005,40.0,10.818891048431396,1.8112367391586304,0.46,32.3296,1.547,0.062,3.57594633102417,1.396124005317688,0.44,30.6101,1.633,0.065,3.57594633102417
opt-125m,16,1664.7545,0.384,0.024,167229920378880.0,0.11869627548294374,40.0,10.818891048431396,1.4770889282226562,0.46,31.9231,1.566,0.063,3.57594633102417,1.0742747783660889,0.44,31.0133,1.612,0.064,3.57594633102417
