model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,4,74.944,2.135,0.534,41880712642560.0,0.7816615998744965,40.0,2.566483497619629,0.7031071186065674,0.46,2.381,21.0,2.94,1.020397663116455,0.724384605884552,0.48,2.3834,20.979,2.937,1.020397663116455
opt-125m,4,75.3373,2.124,0.531,41880712642560.0,0.6232099205255508,40.0,2.564164161682129,0.7641977071762085,0.54,2.2919,21.816,3.054,1.0222229957580566,0.8170057535171509,0.46,2.4807,20.156,2.822,1.0222229957580566
opt-125m,4,75.1039,2.13,0.533,41880712642560.0,0.5095061719417572,40.0,2.565262794494629,0.7756639122962952,0.52,2.3449,21.323,2.985,1.0208802223205566,0.8371639251708984,0.46,2.3556,21.226,2.972,1.0208802223205566
opt-125m,4,75.3219,2.124,0.531,41880712642560.0,0.8648473367094993,40.0,2.564408302307129,0.713860034942627,0.46,2.354,21.24,2.974,1.0222229957580566,0.7365485429763794,0.46,2.406,20.782,2.909,1.0222229957580566
opt-125m,4,76.0772,2.103,0.526,41880712642560.0,0.634762690961361,40.0,2.565506935119629,0.7310923933982849,0.52,2.3966,20.863,2.921,1.0208802223205566,0.7617397308349609,0.46,2.3498,21.279,2.979,1.0208802223205566
opt-125m,4,75.6782,2.114,0.529,41880712642560.0,0.42544722408056257,40.0,2.565140724182129,0.7949028611183167,0.52,2.3298,21.461,3.005,1.0222229957580566,0.8398385643959045,0.46,2.4294,20.581,2.881,1.0222229957580566
opt-125m,4,76.0342,2.104,0.526,41880712642560.0,0.6489173695445061,40.0,2.565751075744629,0.7609092593193054,0.54,2.3661,21.132,2.958,1.0208802223205566,0.8159015774726868,0.46,2.3761,21.043,2.946,1.0208802223205566
opt-125m,8,81.2609,3.938,0.492,83761425285120.0,0.736566287279129,40.0,4.626908302307129,0.7181304097175598,0.52,2.3324,21.437,3.001,1.0222229957580566,0.755013644695282,0.46,2.3876,20.941,2.932,1.0222229957580566
opt-125m,8,81.0804,3.947,0.493,83761425285120.0,0.6983273193240166,40.0,4.640580177307129,0.7312992811203003,0.52,2.3694,21.102,2.954,1.0352845191955566,0.7714830040931702,0.46,2.4161,20.694,2.897,1.0352845191955566
opt-125m,8,81.7548,3.914,0.489,83761425285120.0,0.9278498440980911,40.0,4.641800880432129,0.7046827673912048,0.46,2.3792,21.016,2.942,1.0388245582580566,0.7230260372161865,0.5,2.3457,21.315,2.984,1.0388245582580566
opt-125m,8,82.675,3.871,0.484,83761425285120.0,0.660245081782341,40.0,4.642045021057129,0.8057844042778015,0.5,2.3982,20.849,2.919,1.0382142066955566,0.8688313364982605,0.46,2.9379,17.019,2.383,1.0382142066955566
opt-125m,8,83.299,3.842,0.48,83761425285120.0,0.78933886885643,40.0,4.641800880432129,0.7111334800720215,0.48,2.398,20.851,2.919,1.0388245582580566,0.739565908908844,0.46,2.4285,20.589,2.882,1.0388245582580566
opt-125m,8,82.0442,3.9,0.488,83761425285120.0,0.6581328377127648,40.0,4.642045021057129,0.7196435332298279,0.48,2.4467,20.436,2.861,1.0382142066955566,0.7425679564476013,0.46,2.4105,20.743,2.904,1.0382142066955566
opt-125m,8,83.0337,3.854,0.482,83761425285120.0,0.5275465540587903,40.0,4.641800880432129,0.7296406626701355,0.5,2.4385,20.505,2.871,1.0388245582580566,0.7461798787117004,0.46,2.389,20.929,2.93,1.0388245582580566
opt-125m,8,82.8382,3.863,0.483,83761425285120.0,0.8969203367829323,40.0,4.642045021057129,0.7067683339118958,0.42,2.3895,20.925,2.929,1.0382142066955566,0.7170254588127136,0.5,2.3867,20.95,2.933,1.0382142066955566
opt-125m,8,82.4601,3.881,0.485,83761425285120.0,0.7157522037625312,40.0,4.641800880432129,0.721127450466156,0.52,2.4475,20.429,2.86,1.0388245582580566,0.7572528719902039,0.46,2.388,20.938,2.931,1.0388245582580566
opt-125m,8,82.9918,3.856,0.482,83761425285120.0,0.9111160889267922,40.0,4.642045021057129,0.7038957476615906,0.44,2.3744,21.058,2.948,1.0382142066955566,0.7258123159408569,0.46,2.395,20.877,2.923,1.0382142066955566
opt-125m,16,96.5053,6.632,0.829,167522850570240.0,0.6691549122333527,40.0,4.641800880432129,0.7062017917633057,0.42,2.8359,17.631,2.468,1.0388245582580566,0.721662700176239,0.48,2.5892,19.311,2.704,1.0388245582580566
opt-125m,16,96.094,6.66,0.833,167522850570240.0,0.7668648578226567,40.0,4.642045021057129,0.6981180310249329,0.44,2.5299,19.764,2.767,1.0382142066955566,0.7069111466407776,0.52,2.3994,20.839,2.917,1.0382142066955566
