model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb,finetuning_method
opt-125m,16,102.1258,6.267,0.783,167229920378880.0,0.0925621465315998,40.0,5.66542911529541,0.880422055721283,0.58,2.3834,20.978,2.937,1.964584827423096,1.1494026184082031,0.46,2.3296,21.463,3.005,1.964584827423096,fewshot
opt-125m,16,102.5944,6.238,0.78,167229920378880.0,0.1141007138046916,40.0,5.67080020904541,0.8719920516014099,0.64,2.4014,20.822,2.915,1.968857288360596,0.8737753033638,0.48,2.5673,19.475,2.727,1.968857288360596,fewshot
opt-125m,16,104.368,6.132,0.767,167229920378880.0,0.1069266972939658,40.0,5.66567325592041,1.2339309453964231,0.6,2.3671,21.123,2.957,1.965317249298096,1.0251389741897583,0.56,2.551,19.601,2.744,1.965317249298096,fewshot
opt-125m,16,102.6465,6.235,0.779,167229920378880.0,0.0773683024163801,40.0,5.671282768249512,2.4527273178100586,0.54,2.4118,20.731,2.902,1.9700722694396973,1.780989408493042,0.46,2.3677,21.117,2.956,1.9700722694396973,fewshot
opt-125m,16,102.1524,6.265,0.783,167229920378880.0,0.0929671125897584,40.0,5.66542911529541,1.0890841484069824,0.6,2.4123,20.727,2.902,1.965317249298096,1.5289098024368286,0.46,2.3796,21.012,2.942,1.965317249298096,fewshot
opt-125m,16,102.2072,6.262,0.783,167229920378880.0,0.0880511792825927,40.0,5.67080020904541,1.5014020204544067,0.54,2.3903,20.918,2.928,1.970322132110596,0.8621004223823547,0.52,2.4205,20.657,2.892,1.970322132110596,fewshot
opt-125m,16,102.8472,6.223,0.778,167229920378880.0,0.099093798292597,40.0,5.664690971374512,1.079645037651062,0.62,2.371,21.088,2.952,1.9650673866271973,1.6370360851287842,0.46,2.418,20.679,2.895,1.9650673866271973,fewshot
opt-125m,16,101.6613,6.295,0.787,167229920378880.0,0.1238006997784395,40.0,5.669817924499512,1.6006033420562744,0.54,2.4025,20.811,2.914,1.9686074256896973,1.7788376808166504,0.54,2.3654,21.138,2.959,1.9686074256896973,fewshot
opt-125m,16,101.2927,6.318,0.79,167229920378880.0,0.0988763343146274,40.0,5.666167259216309,1.007778525352478,0.64,2.4544,20.371,2.852,1.966049671173096,2.211786985397339,0.46,2.3934,20.891,2.925,1.966049671173096,fewshot
opt-125m,16,100.626,6.36,0.795,167229920378880.0,0.0945524968508834,40.0,5.668108940124512,1.6612656116485596,0.54,2.3832,20.98,2.937,1.9678750038146973,0.8224455118179321,0.44,2.3556,21.226,2.972,1.9678750038146973,fewshot
opt-350m,2,179.384,0.446,0.223,74553501941760.0,0.0537055839004682,40.0,6.504080772399902,3.862270593643189,0.48,12.4029,4.031,0.564,4.794731616973877,1.2294542789459229,0.56,12.5678,3.978,0.557,4.794731616973877,fewshot
opt-350m,2,212.2038,0.377,0.188,74553501941760.0,0.0210820966222779,40.0,6.505293846130371,10.111700057983398,0.5,16.5275,3.025,0.424,4.795944690704346,8.341504096984863,0.46,16.2669,3.074,0.43,4.795944690704346,fewshot
opt-350m,2,211.4534,0.378,0.189,74553501941760.0,0.0778581414271555,40.0,6.503836631774902,8.323565483093262,0.5,16.5919,3.014,0.422,4.796440601348877,7.603822231292725,0.54,16.3361,3.061,0.428,4.796440601348877,fewshot
opt-350m,2,212.3075,0.377,0.188,74553501941760.0,0.0234671833389227,40.0,6.502852439880371,7.266726016998291,0.5,16.2645,3.074,0.43,4.795456409454346,5.9048333168029785,0.54,16.4184,3.045,0.426,4.795456409454346,fewshot
opt-350m,2,195.5086,0.409,0.205,74553501941760.0,0.0548507594340069,40.0,6.502852439880371,1.903283715248108,0.44,14.3092,3.494,0.489,4.795456409454346,0.9551344513893129,0.56,14.2385,3.512,0.492,4.795456409454346,fewshot
opt-350m,2,196.1019,0.408,0.204,74553501941760.0,0.0934871780899651,40.0,6.503836631774902,2.3737268447875977,0.44,14.3783,3.477,0.487,4.794487476348877,0.8707536458969116,0.62,14.3927,3.474,0.486,4.794487476348877,fewshot
opt-350m,2,175.919,0.455,0.227,74553501941760.0,0.0424688225492287,40.0,6.503836631774902,8.16798210144043,0.5,11.7798,4.245,0.594,4.794487476348877,6.7218017578125,0.54,11.7271,4.264,0.597,4.794487476348877,fewshot
opt-350m,2,175.4877,0.456,0.228,74553501941760.0,0.0472123771920926,40.0,6.502852439880371,1.7899113893508911,0.44,11.6464,4.293,0.601,4.795456409454346,0.7463599443435669,0.5,11.779,4.245,0.594,4.795456409454346,fewshot
opt-350m,2,172.0319,0.465,0.233,74553501941760.0,0.0368971122774643,40.0,6.502852439880371,8.00939655303955,0.5,11.7605,4.252,0.595,4.795456409454346,7.987216949462891,0.54,11.7622,4.251,0.595,4.795456409454346,fewshot
opt-350m,2,176.7036,0.453,0.226,74553501941760.0,0.035953997676703,40.0,6.502852439880371,9.135858535766602,0.5,12.4293,4.023,0.563,4.795456409454346,7.787524223327637,0.46,12.5329,3.989,0.559,4.795456409454346,fewshot
opt-350m,4,378.6854,0.423,0.106,149107003883520.0,0.1059671204494482,40.0,9.243460655212402,6.146905899047852,0.5,13.284,3.764,0.527,4.797409534454346,5.738714694976807,0.54,13.2139,3.784,0.53,4.797409534454346,fewshot
opt-350m,4,402.4485,0.398,0.099,149107003883520.0,0.0372237284145178,40.0,9.243460655212402,1.641188383102417,0.54,17.018,2.938,0.411,4.797409534454346,1.5868139266967771,0.52,17.1499,2.915,0.408,4.797409534454346,fewshot
opt-350m,4,519.049,0.308,0.077,149107003883520.0,0.0465996261031932,40.0,9.243460655212402,3.8698697090148926,0.52,29.6859,1.684,0.236,4.797409534454346,1.5674378871917725,0.5,29.7177,1.682,0.236,4.797409534454346,fewshot
opt-350m,4,439.2834,0.364,0.091,149107003883520.0,0.0384415576498657,40.0,9.243460655212402,1.7922128438949585,0.44,18.8394,2.654,0.372,4.797409534454346,0.8684401512145996,0.54,18.7826,2.662,0.373,4.797409534454346,fewshot
opt-350m,4,419.1506,0.382,0.095,149107003883520.0,0.0400557150277276,40.0,9.243460655212402,5.010772705078125,0.5,23.0261,2.171,0.304,4.797409534454346,4.638939380645752,0.46,23.0429,2.17,0.304,4.797409534454346,fewshot
opt-350m,4,446.6063,0.358,0.09,149107003883520.0,0.0590690313940251,40.0,9.243460655212402,2.2830395698547363,0.5,21.075,2.372,0.332,4.797409534454346,3.6986048221588135,0.46,21.1959,2.359,0.33,4.797409534454346,fewshot
opt-350m,4,489.2048,0.327,0.082,149107003883520.0,0.1078892665624295,40.0,9.243460655212402,1.6293030977249146,0.48,29.8847,1.673,0.234,4.797409534454346,0.8478844165802002,0.52,29.9414,1.67,0.234,4.797409534454346,fewshot
opt-350m,4,422.3879,0.379,0.095,149107003883520.0,0.0791094636009795,40.0,9.243460655212402,1.528545379638672,0.44,20.1419,2.482,0.348,4.797409534454346,0.9498306512832642,0.56,19.9996,2.5,0.35,4.797409534454346,fewshot
opt-350m,4,476.3324,0.336,0.084,149107003883520.0,0.0575972316901139,40.0,9.243460655212402,7.0978217124938965,0.48,27.9285,1.79,0.251,4.797409534454346,0.7820982336997986,0.6,27.8806,1.793,0.251,4.797409534454346,fewshot
opt-350m,4,434.8599,0.368,0.092,149107003883520.0,0.0221136278380869,40.0,9.243460655212402,5.201329231262207,0.52,20.9622,2.385,0.334,4.796432971954346,3.0622212886810303,0.46,20.7228,2.413,0.338,4.796432971954346,fewshot
opt-350m,8,616.1801,0.519,0.13,298214007767040.0,0.0513562600753482,40.0,9.243460655212402,1.121846318244934,0.58,17.1134,2.922,0.76,4.263199329376221,0.8708092570304871,0.64,16.8902,2.96,0.77,4.263199329376221,fewshot
opt-350m,8,589.5111,0.543,0.136,298214007767040.0,0.0560022356184834,40.0,9.243460655212402,1.3212921619415283,0.56,10.618,4.709,1.224,4.263199329376221,0.8129022121429443,0.54,10.7842,4.636,1.205,4.263199329376221,fewshot
opt-350m,8,612.0832,0.523,0.131,298214007767040.0,0.0360896790528215,40.0,9.243460655212402,1.8969310522079468,0.54,12.2289,4.089,1.063,4.263199329376221,1.504125714302063,0.44,12.1819,4.104,1.067,4.263199329376221,fewshot
opt-350m,8,605.3345,0.529,0.132,298214007767040.0,0.0421889262070308,40.0,9.243460655212402,5.723161697387695,0.5,17.2884,2.892,0.752,4.263199329376221,5.54438066482544,0.46,17.1876,2.909,0.756,4.263199329376221,fewshot
opt-350m,8,667.9395,0.479,0.12,298214007767040.0,0.0529953718893226,40.0,9.243460655212402,1.7607998847961426,0.48,21.7947,2.294,0.596,4.263199329376221,2.254488468170166,0.52,21.5779,2.317,0.602,4.263199329376221,fewshot
opt-350m,8,641.243,0.499,0.125,298214007767040.0,0.0375488376428279,40.0,9.243460655212402,2.6741843223571777,0.48,19.4419,2.572,0.669,4.263199329376221,2.1051294803619385,0.46,19.7026,2.538,0.66,4.263199329376221,fewshot
opt-350m,8,575.1351,0.556,0.139,298214007767040.0,0.0501926639149548,40.0,9.243460655212402,2.6565661430358887,0.46,18.7137,2.672,0.695,4.261246204376221,2.2835946083068848,0.54,18.6636,2.679,0.697,4.261246204376221,fewshot
opt-350m,8,551.1268,0.581,0.145,298214007767040.0,0.0383368173928634,40.0,9.243460655212402,4.658231258392334,0.44,12.5494,3.984,1.036,4.263199329376221,1.2319560050964355,0.48,12.5952,3.97,1.032,4.263199329376221,fewshot
opt-350m,8,564.5107,0.567,0.142,298214007767040.0,0.0543301784010633,40.0,9.243460655212402,2.439480781555176,0.48,15.715,3.182,0.827,4.263199329376221,2.0439600944519043,0.48,15.6486,3.195,0.831,4.263199329376221,fewshot
opt-350m,8,553.4537,0.578,0.145,298214007767040.0,0.0247586492207796,40.0,9.243460655212402,6.784378528594971,0.44,18.0563,2.769,0.72,4.263199329376221,4.124746799468994,0.54,17.7266,2.821,0.733,4.263199329376221,fewshot
opt-350m,16,578.5675,1.106,0.553,596428015534080.0,0.0571189545168883,40.0,6.502852439880371,1.6758835315704346,0.5,12.8003,3.906,1.953,3.994629383087158,1.1500297784805298,0.46,12.6414,3.955,1.978,3.994629383087158,fewshot
opt-350m,16,437.0735,1.464,0.732,596428015534080.0,0.0291229419093923,40.0,6.502852439880371,1.53178071975708,0.52,5.43,9.208,4.604,3.994629383087158,1.1722509860992432,0.54,5.3004,9.433,4.717,3.994629383087158,fewshot
opt-350m,16,428.0273,1.495,0.748,596428015534080.0,0.0380580878265917,40.0,6.502860069274902,2.024996757507324,0.36,4.9888,10.022,5.011,3.9946370124816895,1.2061320543289185,0.48,4.8736,10.259,5.13,3.9946370124816895,fewshot
opt-350m,16,447.37,1.431,0.715,596428015534080.0,0.0419337421858373,40.0,6.502852439880371,3.8043909072875977,0.5,6.203,8.061,4.03,3.994629383087158,1.6793243885040283,0.54,6.0629,8.247,4.123,3.994629383087158,fewshot
opt-350m,16,433.7739,1.475,0.738,596428015534080.0,0.0532280527259831,40.0,6.502852439880371,2.3133254051208496,0.56,5.8376,8.565,4.283,3.994629383087158,1.919178366661072,0.42,5.7715,8.663,4.332,3.994629383087158,fewshot
opt-350m,16,415.37,1.541,0.77,596428015534080.0,0.0315606606671034,40.0,6.501875877380371,2.605842351913452,0.46,5.3129,9.411,4.706,3.994629383087158,1.204371452331543,0.5,5.1916,9.631,4.815,3.994629383087158,fewshot
opt-350m,16,430.3843,1.487,0.744,596428015534080.0,0.0323773926105231,40.0,6.502860069274902,1.6216524839401243,0.42,6.4182,7.79,3.895,3.9946370124816895,1.2212331295013428,0.56,6.325,7.905,3.953,3.9946370124816895,fewshot
opt-350m,16,395.197,1.619,0.81,596428015534080.0,0.0493890065350444,40.0,6.502852439880371,1.865696907043457,0.58,4.3691,11.444,5.722,3.994629383087158,1.590091109275818,0.54,4.2804,11.681,5.841,3.994629383087158,fewshot
opt-350m,16,401.025,1.596,0.798,596428015534080.0,0.0604777186437335,40.0,6.502852439880371,1.664461374282837,0.68,4.4025,11.357,5.679,3.994629383087158,3.5690457820892334,0.46,4.2931,11.646,5.823,3.994629383087158,fewshot
opt-350m,16,413.5587,1.548,0.774,596428015534080.0,0.0723071863187344,40.0,6.502852439880371,2.348245620727539,0.5,4.2848,11.669,5.835,3.994629383087158,1.181236982345581,0.54,4.2854,11.667,5.834,3.994629383087158,fewshot
opt-125m,2,,,,,,,,0.7108021247386932,0.58,3.782561779022217,13.218554757597344,,3.716986656188965,0.7732616442441941,0.54,3.737440347671509,13.37813994306314,,3.716986656188965,icl
opt-125m,2,,,,,,,,0.7411929666996002,0.5,3.7354483604431152,13.385274048887878,,3.7184338569641113,0.7788479083776474,0.5,3.6653995513916016,13.641077677607358,,3.717555046081543,icl
opt-125m,2,,,,,,,,0.699963207244873,0.52,3.361722469329834,14.873327722965662,,3.717951774597168,0.6931471824645996,0.46,3.299437999725342,15.15409594123672,,3.717951774597168,icl
opt-125m,2,,,,,,,,0.7908021223545074,0.42,3.3809988498687744,14.788529135980223,,3.717310905456543,0.6931471824645996,0.46,3.320896625518799,15.056174773940418,,3.717310905456543,icl
opt-125m,2,,,,,,,,0.7348250168561935,0.58,3.3929688930511475,14.73635673536553,,3.717951774597168,0.6931471824645996,0.46,3.313682794570923,15.088951809726352,,3.717951774597168,icl
opt-125m,2,,,,,,,,0.7320318847894669,0.6,3.3792686462402344,14.796100942027758,,3.717310905456543,0.6495723658800125,0.6,3.312976837158203,15.09216709250792,,3.717310905456543,icl
opt-125m,2,,,,,,,,0.7439860987663269,0.48,3.349304437637329,14.928472741424208,,3.717951774597168,0.6931471824645996,0.46,3.3341493606567383,14.996328775790458,,3.717951774597168,icl
opt-125m,2,,,,,,,,0.7844341725111008,0.5,3.418851375579834,14.624794852780065,,3.717310905456543,0.6867792326211929,0.54,3.3184189796447754,15.067416232459085,,3.717310905456543,icl
opt-125m,2,,,,,,,,0.842422724366188,0.36,3.3268396854400635,15.02927845270854,,3.717951774597168,0.6675609189271927,0.54,3.318333625793457,15.067803795058234,,3.717951774597168,icl
opt-125m,2,,,,,,,,0.7996295934915543,0.46,3.3894290924072266,14.751746868523275,,3.717310905456543,0.7808593547344208,0.52,3.3512039184570312,14.920011200936145,,3.717310905456543,icl
opt-125m,4,,,,,,,,0.8176181465387344,0.4,3.5243306159973145,14.187091237423822,,3.717951774597168,0.6931471824645996,0.46,3.5411946773529053,14.119528734120806,,3.717951774597168,icl
opt-125m,4,,,,,,,,0.7611929661035538,0.46,3.5823073387146,13.95748473606426,,3.717310905456543,0.6931471824645996,0.46,3.567392110824585,14.015840829014657,,3.717310905456543,icl
opt-125m,4,,,,,,,,0.8252158570289612,0.38,3.3724844455718994,14.825865265487115,,3.717951774597168,0.6931471824645996,0.46,3.327868938446045,15.024630153658515,,3.717951774597168,icl
opt-125m,4,,,,,,,,0.8008593541383743,0.52,3.4036569595336914,14.690082048353696,,3.717310905456543,0.7732616442441941,0.54,3.35686993598938,14.894827906182597,,3.717310905456543,icl
opt-125m,4,,,,,,,,1.0032044053077698,0.0,3.080193281173706,16.232747569966623,,3.717951774597168,0.9783998274803162,0.0,3.0902936458587646,16.17969220077319,,3.717951774597168,icl
opt-125m,4,,,,,,,,0.8008593541383743,0.52,3.558263063430786,14.051799742931676,,3.717310905456543,0.7732616442441941,0.54,3.5735464096069336,13.991702994421072,,3.717310905456543,icl
opt-125m,4,,,,,,,,0.7548250162601471,0.54,3.530192375183105,14.163534075790016,,3.717951774597168,0.7055494713783265,0.44,3.521430015563965,14.198777138551876,,3.717951774597168,icl
opt-125m,4,,,,,,,,0.7515838092565537,0.46,3.387624979019165,14.759603058091963,,3.717310905456543,0.7788479083776474,0.5,3.339463472366333,14.972465012342283,,3.717310905456543,icl
opt-125m,4,,,,,,,,0.8148250144720077,0.42,3.3550195693969727,14.90304272919247,,3.717951774597168,0.7292387527227402,0.58,3.3383586406707764,14.977420158174947,,3.717951774597168,icl
opt-125m,4,,,,,,,,0.8008593541383743,0.52,3.3602957725524902,14.87964256254141,,3.717310905456543,0.7732616442441941,0.54,3.342592000961304,14.958451401074491,,3.717310905456543,icl
opt-125m,8,,,,,,,,0.7199632066488266,0.48,3.694136381149292,13.534963206865788,,3.717951774597168,0.6399632090330124,0.6,3.6671676635742183,13.634500679270092,,3.717951774597168,icl
opt-125m,8,,,,,,,,0.8132616430521011,0.5,3.739290714263916,13.371519847138329,,3.717310905456543,0.7732616442441941,0.54,3.733021259307861,13.393976762208553,,3.717310905456543,icl
opt-125m,8,,,,,,,,0.7419746524095535,0.46,3.385166883468628,14.770320554704012,,3.717951774597168,0.6931471824645996,0.46,3.3720741271972656,14.827669296095223,,3.717951774597168,icl
opt-125m,8,,,,,,,,0.7583998340368271,0.48,3.456439733505249,14.46575200352009,,3.717310905456543,0.837618145942688,0.32,3.383684635162353,14.7767908038513,,3.717310905456543,icl
opt-125m,8,,,,,,,,0.7908021223545074,0.42,3.3625667095184326,14.869593474075852,,3.717951774597168,0.6931471824645996,0.46,3.361952781677246,14.87230881781019,,3.717951774597168,icl
opt-125m,8,,,,,,,,0.7459975451231002,0.5,3.415696859359741,14.638301365353689,,3.717310905456543,0.7576181483268738,0.48,3.36514663696289,14.858193533321318,,3.717310905456543,icl
opt-125m,8,,,,,,,,0.7399632060527801,0.44,3.3877086639404297,14.759238458788325,,3.717951774597168,0.6931471824645996,0.46,3.34477972984314,14.948667487393813,,3.717951774597168,icl
opt-125m,8,,,,,,,,0.7303540492057801,0.44,3.401653289794922,14.69873492104611,,3.717310905456543,0.6931471824645996,0.46,3.4029548168182373,14.69311310067584,,3.717310905456543,icl
opt-125m,8,,,,,,,,0.7583998340368271,0.48,3.362539052963257,14.869715775029352,,3.717951774597168,0.7892387509346008,0.46,3.352031946182251,14.916325620627449,,3.717951774597168,icl
opt-125m,8,,,,,,,,0.757170073390007,0.42,3.427654981613159,14.58723245723771,,3.717310905456543,0.6931471824645996,0.46,3.41550350189209,14.639130064513608,,3.717310905456543,icl
opt-125m,16,,,,,,,,0.6931471824645996,0.5,3.694381713867188,13.534064390888627,,3.717951774597168,0.6931471824645996,0.46,3.727832317352295,13.412620457003996,,3.717951774597168,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.736384630203247,13.381919943632829,,3.717310905456543,0.7732616442441941,0.54,3.737757682800293,13.377004140766148,,3.717310905456543,icl
opt-125m,16,,,,,,,,1.0032044053077698,0.0,3.1094460487365723,16.08003458375358,,3.717951774597168,0.9783998274803162,0.0,3.1028077602386475,16.114436943445806,,3.717951774597168,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.461071252822876,14.446394294604486,,3.717310905456543,0.7732616442441941,0.54,3.4186716079711914,14.62556388376609,,3.717310905456543,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.4099278450012207,14.663066866150096,,3.717951774597168,0.7732616442441941,0.54,3.3897430896759038,14.750380390857451,,3.717951774597168,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.462833881378174,14.43904088754627,,3.717310905456543,0.7732616442441941,0.54,3.4194552898406982,14.622211949532272,,3.717310905456543,icl
opt-125m,16,,,,,,,,0.6931471824645996,0.5,3.428914785385132,14.581873020908,,3.717951774597168,0.6931471824645996,0.46,3.408155918121338,14.670690309133882,,3.717951774597168,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.4293081760406494,14.580200271685156,,3.717310905456543,0.7732616442441941,0.54,3.41174840927124,14.655242415920156,,3.717310905456543,icl
opt-125m,16,,,,,,,,0.8132616430521011,0.5,3.398699760437012,14.711508378007151,,3.717951774597168,0.7732616442441941,0.54,3.3863325119018555,14.765236380144682,,3.717951774597168,icl
opt-125m,16,,,,,,,,1.0032044053077698,0.0,3.205258369445801,15.599366489961044,,3.717310905456543,0.9783998274803162,0.0,3.1680407524108887,15.782625258829087,,3.717310905456543,icl
