model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,24,0.6535,0.956494152545929
opt-125m,2,25,0.5394,0.9599750638008118
opt-125m,2,26,0.4725,0.9632620811462402
opt-125m,2,27,0.5279,0.9663491249084473
opt-125m,2,28,0.55,0.9692336320877075
opt-125m,2,29,0.4517,0.9719161987304688
opt-125m,2,30,0.4711,0.9743897318840027
opt-125m,2,31,0.5339,0.976637065410614
opt-125m,2,32,0.4299,0.9786514043807983
opt-125m,2,33,0.454,0.9804484248161316
opt-125m,2,34,0.5386,0.9820218086242676
opt-125m,2,35,0.5096,0.9833663702011108
opt-125m,2,36,0.4945,0.9844835996627808
opt-125m,2,37,0.4833,0.9853809475898743
opt-125m,2,38,0.4426,0.9860550165176392
opt-125m,2,39,0.5066,0.9865058660507202
opt-125m,2,40,0.5202,0.9867327809333801
opt-125m,4,1,0.8176,0.8382819294929504
opt-125m,4,2,0.7948,0.8371468782424927
opt-125m,4,3,0.8172,0.834870457649231
opt-125m,4,4,0.7828,0.831485390663147
opt-125m,4,5,0.7605,0.827157199382782
opt-125m,4,6,0.644,0.8228093981742859
opt-125m,4,7,0.7875,0.8186981081962585
opt-125m,4,8,0.7325,0.8147729635238647
opt-125m,4,9,0.8029,0.810961127281189
opt-125m,4,10,0.8978,0.8075528144836426
opt-125m,4,11,0.8182,0.80427086353302
opt-125m,4,12,0.7157,0.8011224865913391
opt-125m,4,13,0.6824,0.7982320189476013
opt-125m,4,14,0.7377,0.7953518629074097
opt-125m,4,15,0.7114,0.792686939239502
opt-125m,4,16,0.7006,0.7901559472084045
opt-125m,4,17,0.702,0.7877174019813538
opt-125m,4,18,0.6957,0.7852964997291565
opt-125m,4,19,0.7594,0.782932698726654
opt-125m,4,20,0.6658,0.7806605100631714
opt-125m,4,21,0.7526,0.7785732746124268
opt-125m,4,22,0.7806,0.7767273783683777
opt-125m,4,23,0.7544,0.7750632166862488
opt-125m,4,24,0.694,0.7735502123832703
opt-125m,4,25,0.6542,0.7721004486083984
opt-125m,4,26,0.68,0.7707972526550293
opt-125m,4,27,0.7421,0.7695158123970032
opt-125m,4,28,0.6681,0.7683590650558472
opt-125m,4,29,0.6219,0.767294704914093
opt-125m,4,30,0.5972,0.7663000822067261
opt-125m,4,31,0.7292,0.7653964757919312
opt-125m,4,32,0.6753,0.7645779848098755
opt-125m,4,33,0.793,0.7638760805130005
opt-125m,4,34,0.7247,0.7632646560668945
opt-125m,4,35,0.7052,0.7627431750297546
opt-125m,4,36,0.6899,0.7623006105422974
opt-125m,4,37,0.6496,0.7619549036026001
opt-125m,4,38,0.6708,0.7617043256759644
opt-125m,4,39,0.6252,0.7615377902984619
opt-125m,4,40,0.701,0.7614547610282898
opt-125m,4,1,1.0362,0.8382819294929504
opt-125m,4,2,0.9827,0.8367248773574829
opt-125m,4,3,1.1346,0.8335945010185242
opt-125m,4,4,0.9791,0.8289785385131836
opt-125m,4,5,1.005,0.8229163289070129
opt-125m,4,6,0.8956,0.8170871734619141
opt-125m,4,7,0.8751,0.8114610910415649
opt-125m,4,8,0.8749,0.8060730695724487
opt-125m,4,9,0.975,0.8009151220321655
opt-125m,4,10,0.8794,0.7959704399108887
opt-125m,4,11,1.1489,0.7911924719810486
opt-125m,4,12,0.9127,0.7866256833076477
opt-125m,4,13,0.8598,0.7822470664978027
opt-125m,4,14,0.9325,0.7780932188034058
opt-125m,4,15,0.8897,0.7741025686264038
opt-125m,4,16,0.8617,0.7703441381454468
opt-125m,4,17,0.9373,0.7667660713195801
opt-125m,4,18,0.734,0.7633376121520996
opt-125m,4,19,0.796,0.7600306272506714
opt-125m,4,20,0.7888,0.7569320797920227
opt-125m,4,21,0.8148,0.7540193796157837
opt-125m,4,22,0.8342,0.7512860894203186
opt-125m,4,23,0.9213,0.7487231492996216
opt-125m,4,24,0.79,0.7463052272796631
opt-125m,4,25,0.8742,0.7440436482429504
opt-125m,4,26,0.724,0.7419143915176392
opt-125m,4,27,0.8093,0.7399385571479797
opt-125m,4,28,0.7792,0.7381256222724915
opt-125m,4,29,0.8204,0.7364803552627563
opt-125m,4,30,0.6922,0.7349789142608643
opt-125m,4,31,0.7494,0.73361736536026
opt-125m,4,32,0.8126,0.732381284236908
opt-125m,4,33,0.7157,0.7312818765640259
opt-125m,4,34,0.655,0.7303240299224854
opt-125m,4,35,0.654,0.7295042276382446
opt-125m,4,36,0.7663,0.7288199663162231
opt-125m,4,37,0.7289,0.7282792329788208
opt-125m,4,38,0.8617,0.7278774976730347
opt-125m,4,39,0.6974,0.7276092171669006
opt-125m,4,40,0.6378,0.7274749279022217
opt-125m,4,1,1.0316,0.8382819294929504
opt-125m,4,2,0.9606,0.8367847204208374
opt-125m,4,3,0.9143,0.8337475657463074
opt-125m,4,4,0.8833,0.8291719555854797
opt-125m,4,5,0.8204,0.8233469128608704
opt-125m,4,6,0.8338,0.8178138732910156
opt-125m,4,7,0.8785,0.8124549984931946
opt-125m,4,8,0.8943,0.8072188496589661
opt-125m,4,9,0.8911,0.8022071719169617
opt-125m,4,10,0.8174,0.797559380531311
opt-125m,4,11,0.948,0.7931311130523682
opt-125m,4,12,0.8385,0.7888302803039551
opt-125m,4,13,0.8595,0.7847743034362793
opt-125m,4,14,0.8483,0.7809020280838013
opt-125m,4,15,0.7887,0.7772542834281921
opt-125m,4,16,0.8801,0.7737755179405212
opt-125m,4,17,0.7924,0.7704212069511414
opt-125m,4,18,0.7265,0.7671944499015808
opt-125m,4,19,0.7634,0.764093816280365
opt-125m,4,20,0.9305,0.7611504793167114
opt-125m,4,21,0.8614,0.7583804130554199
opt-125m,4,22,0.7005,0.7557810544967651
opt-125m,4,23,0.8924,0.7533566951751709
opt-125m,4,24,0.7373,0.7510523796081543
opt-125m,4,25,0.6219,0.7488579154014587
opt-125m,4,26,0.711,0.7468292117118835
opt-125m,4,27,0.6845,0.7449280023574829
opt-125m,4,28,0.738,0.743181586265564
opt-125m,4,29,0.7421,0.7416427731513977
opt-125m,4,30,0.7306,0.7402229309082031
opt-125m,4,31,0.6817,0.7389448285102844
opt-125m,4,32,0.7807,0.7377955317497253
opt-125m,4,33,0.7342,0.7367683053016663
opt-125m,4,34,0.7231,0.7358887791633606
opt-125m,4,35,0.7006,0.7351417541503906
opt-125m,4,36,0.7653,0.7345090508460999
opt-125m,4,37,0.7406,0.7340057492256165
opt-125m,4,38,0.8006,0.733635425567627
opt-125m,4,39,0.799,0.7333882451057434
opt-125m,4,40,0.7893,0.7332631349563599
opt-125m,4,1,0.8665,0.8382819294929504
opt-125m,4,2,0.8922,0.8368927836418152
opt-125m,4,3,0.8527,0.8340654373168945
opt-125m,4,4,0.7967,0.829816997051239
opt-125m,4,5,0.8004,0.8243236541748047
opt-125m,4,6,0.8292,0.8190168142318726
opt-125m,4,7,0.9606,0.8139604330062866
opt-125m,4,8,0.8069,0.8091158866882324
opt-125m,4,9,0.8429,0.8045085072517395
opt-125m,4,10,0.9379,0.8002458810806274
opt-125m,4,11,0.8134,0.7962170839309692
opt-125m,4,12,0.8859,0.7923606634140015
opt-125m,4,13,0.7996,0.7886988520622253
opt-125m,4,14,0.7461,0.7852798104286194
opt-125m,4,15,0.7964,0.7821545600891113
opt-125m,4,16,0.7274,0.7791754007339478
opt-125m,4,17,0.7546,0.7763231992721558
opt-125m,4,18,0.804,0.7735540270805359
