model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_peak_memory_gb
opt-350m,2,0.7475609165430069,0.42,64.33892893791199,0.7771344786956391,7.305577278137207,0.6931471824645996,0.46,64.36167693138123,0.7768598082568167,7.305577278137207
opt-350m,2,0.7259975457191468,0.54,76.53444361686707,0.6533006269739281,7.3141889572143555,0.6931471824645996,0.46,76.0048418045044,0.6578528263844998,7.3141889572143555
opt-350m,2,0.7796295940876007,0.5,64.58645462989807,0.7741561336121743,7.305577278137207,0.7732616442441941,0.54,64.62898111343384,0.7736467315219202,7.305577278137207
opt-350m,2,0.7712501978874207,0.56,76.40515208244324,0.6544061314876861,7.315098762512207,0.7732616442441941,0.54,76.12315273284912,0.6568303887185653,7.315098762512207
opt-350m,2,0.7419746524095535,0.46,64.35571718215942,0.7769317504220263,7.305577278137207,0.6855494719743729,0.48,64.30315160751343,0.7775668649210936,7.305577278137207
opt-350m,2,0.7700204372406005,0.5,76.38257455825806,0.6545995639602892,7.315098762512207,0.7732616442441941,0.54,76.05842661857605,0.6573893547751657,7.315098762512207
opt-350m,2,0.7383998346328735,0.52,64.42556571960449,0.7760894210477248,7.305577278137207,0.6931471824645996,0.46,64.0288999080658,0.780897377149868,7.305577278137207
opt-350m,2,0.7383998346328735,0.52,76.55752491950989,0.6531036635858903,7.315098762512207,0.7636524873971939,0.54,75.79899334907532,0.6596393671052619,7.315098762512207
opt-350m,4,0.7776181477308274,0.48,65.11722660064697,0.7678459696485788,7.305577278137207,0.7432044130563736,0.48,64.82894015312195,0.7712604877066183,7.305577278137207
opt-350m,4,0.6991815215349197,0.56,76.02562093734741,0.657673023692959,7.315098762512207,0.7067792320251465,0.5,75.41135025024414,0.6630301650093864,7.315098762512207
opt-350m,4,0.7940433293581008,0.5,65.27003312110901,0.7660483319692001,7.305577278137207,0.7712501978874207,0.52,64.91261434555054,0.7702663111646384,7.305577278137207
opt-350m,4,0.8084570646286011,0.5,75.18709778785706,0.6650077137047727,7.315098762512207,0.7732616442441941,0.54,75.00915288925171,0.6665853175788184,7.315098762512207
opt-350m,4,1.0032044053077698,0.0,65.18799805641174,0.7670123564268916,7.305581092834473,0.9783998274803162,0.0,64.89476156234741,0.7704782142078245,7.305577278137207
