model_name,sample_size,epoch,train_loss,val_loss
opt-125m,2,2,0.9233,0.7077493667602539
opt-125m,2,3,0.8918,0.7414723634719849
opt-125m,2,4,0.5193,0.8083636164665222
opt-125m,2,5,0.2725,0.9279395937919617
opt-125m,2,6,0.0583,1.0792226791381836
opt-125m,2,7,0.0402,1.2550361156463623
opt-125m,2,8,0.0163,1.4522731304168701
opt-125m,2,9,0.008,1.6595947742462158
opt-125m,2,10,0.0027,1.863940954208374
opt-125m,2,11,0.0018,2.061048746109009
opt-125m,2,12,0.0015,2.248900890350342
opt-125m,2,13,0.0008,2.422729969024658
opt-125m,2,14,0.0004,2.580491542816162
opt-125m,2,15,0.0002,2.7233405113220215
opt-125m,2,16,0.0003,2.8516602516174316
opt-125m,2,17,0.0002,2.965977191925049
opt-125m,2,18,0.0001,3.06746244430542
opt-125m,2,19,0.0001,3.1564269065856934
opt-125m,2,20,0.0001,3.2344970703125
opt-125m,2,21,0.0001,3.302577257156372
opt-125m,2,22,0.0,3.361449718475342
opt-125m,2,23,0.0,3.412402391433716
opt-125m,2,24,0.0,3.456711530685425
opt-125m,2,25,0.0,3.494986057281494
opt-125m,2,26,0.0,3.52787446975708
opt-125m,2,27,0.0,3.555992603302002
opt-125m,2,28,0.0,3.5796875953674316
opt-125m,2,29,0.0,3.599684953689575
opt-125m,2,30,0.0,3.6164824962615967
opt-125m,2,31,0.0,3.6304244995117188
opt-125m,2,32,0.0,3.6419284343719482
opt-125m,2,33,0.0,3.6512863636016846
opt-125m,2,34,0.0,3.6587727069854736
opt-125m,2,35,0.0,3.6646575927734375
opt-125m,2,36,0.0,3.6691577434539795
opt-125m,2,37,0.0,3.6724579334259033
opt-125m,2,38,0.0,3.674727201461792
opt-125m,2,39,0.0,3.6761202812194824
opt-125m,2,40,0.0,3.6767590045928955
opt-125m,2,1,0.458,0.6946821212768555
opt-125m,2,2,0.4006,0.6976452469825745
opt-125m,2,3,0.365,0.7022708654403687
opt-125m,2,4,0.2651,0.711265504360199
opt-125m,2,5,0.204,0.7257987856864929
opt-125m,2,6,0.0908,0.7443525195121765
opt-125m,2,7,0.0437,0.7615293860435486
opt-125m,2,8,0.0257,0.7794812917709351
opt-125m,2,9,0.0146,0.8039858937263489
opt-125m,2,10,0.0087,0.8269764184951782
opt-125m,2,11,0.007,0.8485223650932312
opt-125m,2,12,0.0031,0.8695366978645325
opt-125m,2,13,0.0024,0.8880399465560913
opt-125m,2,14,0.002,0.9045068025588989
opt-125m,2,15,0.0009,0.919338047504425
opt-125m,2,16,0.0006,0.9324809312820435
opt-125m,2,17,0.0006,0.944500744342804
opt-125m,2,18,0.0005,0.9551165699958801
opt-125m,2,19,0.0004,0.9648444056510925
opt-125m,2,20,0.0003,0.9734489321708679
opt-125m,2,21,0.0002,0.9808940887451172
opt-125m,2,22,0.0002,0.9876472353935242
opt-125m,2,23,0.0002,0.9936292767524719
opt-125m,2,24,0.0002,0.9989030957221985
opt-125m,2,25,0.0002,1.0034805536270142
