model_name,sample_size,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second
opt-125m,6,0.7244341742992401,0.56,8.84438705444336,5.6533030149195405,0.6903540503978729,0.44,8.428623676300049,5.932166617023377
opt-125m,6,0.7396295952796936,0.52,8.077557563781738,6.189989932624024,0.71605477809906,0.6,8.587841272354126,5.822184925676187
opt-125m,6,0.71962959587574,0.56,9.638224840164185,5.187677277629089,0.6867792326211929,0.5,8.715723991394043,5.736758076479968
opt-125m,6,0.7019746536016465,0.48,9.169497966766357,5.452861234193894,0.6931471824645996,0.42,8.293788194656372,6.0286082579507685
opt-125m,6,0.7408593559265136,0.58,8.668475151062012,5.768027147643641,0.7332616454362869,0.58,8.136606693267822,6.145067825555547
opt-125m,6,0.7219746530055999,0.44,8.905822038650513,5.614304865177435,0.6931471824645996,0.42,8.310626745223999,6.016393412053345
opt-125m,6,0.6872273075580597,0.62,8.962342977523804,5.5788982998522165,0.7027563393115998,0.42,8.338536262512207,5.996256228420617
opt-125m,6,0.7272273063659668,0.54,8.544150114059448,5.851957108960985,0.7055494713783265,0.4,8.424947500228882,5.9347550828823135
opt-125m,6,0.6875609183311462,0.48,8.380588054656982,5.9661684447329035,0.6931471824645996,0.42,8.862691402435303,5.64162710057364
opt-125m,6,0.7108021247386932,0.52,14.20894169807434,3.518910912751245,0.6931471824645996,0.42,17.073081016540527,2.928586817549781
opt-125m,8,0.6923654967546463,0.48,13.554421186447144,3.688833282677849,0.6931471824645996,0.42,8.639628410339355,5.7872859369927525
opt-125m,8,0.7583998340368271,0.42,8.228026390075684,6.076791399248306,0.6931471824645996,0.42,7.996616840362549,6.252644211690542
opt-125m,8,0.6859975469112396,0.56,7.9353649616241455,6.300907424145292,0.6903540503978729,0.44,8.327730655670166,6.004036641837848
opt-125m,8,0.6875609183311462,0.48,9.406288146972656,5.315593060594484,0.695158628821373,0.44,8.613533735275269,5.804818502681829
opt-125m,8,0.7059975463151932,0.52,8.984201669692993,5.565324759869131,0.6931471824645996,0.42,8.514496803283691,5.872337632532442
opt-125m,8,0.7348250168561935,0.52,8.57008147239685,5.8342502531678,0.6867792326211929,0.5,9.223366498947144,5.421014117319045
opt-125m,8,0.7039860999584198,0.5,12.957353115081787,3.8588127957863714,0.6931471824645996,0.42,8.12527346611023,6.153639038556107
opt-125m,8,0.7388479095697403,0.56,7.440147161483765,6.720297181598847,0.7332616454362869,0.58,7.968312501907349,6.274854304224598
opt-125m,8,0.7108021247386932,0.52,7.4758570194244385,6.688196399434277,0.6931471824645996,0.42,7.628353118896484,6.554494688524984
opt-125m,8,0.6799632078409195,0.5,7.500513076782227,6.666210629613402,0.6931471824645996,0.42,7.3508620262146,6.801923342009455
opt-125m,16,0.7532616448402405,0.56,8.136558055877686,6.1451045585400825,0.7332616454362869,0.58,7.562783479690552,6.611322423056579
opt-125m,16,0.7532616448402405,0.56,7.768727540969849,6.436060440569653,0.7332616454362869,0.58,7.37894344329834,6.776037841218407
opt-125m,16,0.7532616448402405,0.56,7.912842512130737,6.318841797160475,0.7332616454362869,0.58,7.5149312019348145,6.653420857283013
opt-125m,16,0.7532616448402405,0.56,8.240995645523071,6.067228057226623,0.7332616454362869,0.58,7.3183434009552,6.8321472853369976
opt-125m,16,0.6931471824645996,0.44,8.590726613998413,5.820229445845247,0.6931471824645996,0.42,9.355816841125488,5.344268795452935
opt-125m,16,0.6931471824645996,0.44,8.56709885597229,5.836281434425615,0.6931471824645996,0.42,10.305410385131836,4.851820367303146
opt-125m,16,0.7532616448402405,0.56,8.851818084716797,5.648557112388928,0.7332616454362869,0.58,10.70827031135559,4.669288180648323
opt-125m,16,0.9659975385665893,0.0,8.117295980453491,6.159686688818588,0.9535952496528626,0.0,8.497591257095337,5.884020363800259
opt-125m,16,0.7532616448402405,0.56,7.670329570770264,6.518624726444308,0.7332616454362869,0.58,8.738218069076538,5.721990410944739
opt-125m,16,0.7532616448402405,0.56,8.435455322265625,5.927362316533593,0.7332616454362869,0.58,8.095591306686401,6.176201108213484
