model_name,sample_size,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,train_peak_memory_gb,eval_in_loss,eval_in_accuracy,eval_in_runtime,eval_in_samples_per_second,eval_in_steps_per_second,eval_in_peak_memory_gb,eval_out_loss,eval_out_accuracy,eval_out_runtime,eval_out_samples_per_second,eval_out_steps_per_second,eval_out_peak_memory_gb
opt-125m,4,76.8077,2.083,0.521,41807480094720.0,0.09240248913811229,40.0,3.5616331100463867,2.1842432022094727,0.5,2.2935,21.801,3.052,1.9643349647521973,2.1006698608398438,0.46,2.3067,21.676,3.035,1.9643349647521973
opt-125m,4,77.0925,2.075,0.519,41807480094720.0,0.07262066169278114,40.0,3.561638832092285,1.53071928024292,0.48,2.3196,21.556,3.018,1.9637303352355957,2.412126302719116,0.46,2.2783,21.946,3.072,1.9637303352355957
opt-125m,4,76.6262,2.088,0.522,41807480094720.0,0.13440734040559618,40.0,3.5599184036254883,0.8670480251312256,0.56,2.3378,21.387,2.994,1.9628643989562988,0.8240950107574463,0.48,2.314,21.608,3.025,1.9628643989562988
opt-125m,4,77.3953,2.067,0.517,41807480094720.0,0.085461916110944,40.0,3.561638832092285,1.0300610065460205,0.58,2.3632,21.157,2.962,1.9637303352355957,0.9508508443832397,0.46,2.2786,21.944,3.072,1.9637303352355957
opt-125m,4,76.5638,2.09,0.522,41807480094720.0,0.05555127304905909,40.0,3.558465003967285,2.734781503677368,0.5,2.3323,21.438,3.001,1.9621434211730957,1.797690749168396,0.46,2.3288,21.47,3.006,1.9621434211730957
opt-125m,4,76.984,2.078,0.52,41807480094720.0,0.08746785043476848,40.0,3.561638832092285,2.4825992584228516,0.5,2.2783,21.946,3.073,1.9644627571105957,2.2859082221984863,0.46,2.3317,21.443,3.002,1.9644627571105957
opt-125m,8,82.8868,3.861,0.483,83614960189440.0,0.12744573562231382,40.0,5.667632102966309,0.6119036674499512,0.68,2.302,21.721,3.041,1.9658055305480957,0.9899230003356934,0.46,2.3538,21.242,2.974,1.9658055305480957
opt-125m,8,84.372,3.793,0.474,83614960189440.0,0.11443167184916092,40.0,5.667143821716309,1.1870166063308716,0.54,2.4376,20.512,2.872,1.9666600227355957,0.96088045835495,0.48,2.3712,21.086,2.952,1.9666600227355957
opt-125m,8,83.5888,3.828,0.479,83614960189440.0,0.1622966493203421,40.0,5.670062065124512,0.9172869324684143,0.56,2.3219,21.534,3.015,1.9672646522521973,0.7478668093681335,0.54,2.3014,21.726,3.042,1.9672646522521973
opt-125m,8,85.7024,3.734,0.467,83614960189440.0,0.09747911978702177,40.0,5.669085502624512,2.7278499603271484,0.5,2.3202,21.55,3.017,1.9686074256896973,2.612584114074707,0.46,2.3439,21.332,2.987,1.9686074256896973
opt-125m,8,83.3528,3.839,0.48,83614960189440.0,0.1330087346563232,40.0,5.66616153717041,0.7857147455215454,0.6,2.3112,21.634,3.029,1.9653172492980957,0.8609684705734253,0.5,2.4353,20.532,2.874,1.9653172492980957
